Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,3,86,0,0,0,15,0,0,0,9,0,0,0,8,0,0,0,0,0,0,4,15
00:15:00,00:30:00,0,81,0,0,0,8,0,0,0,10,0,1,1,27,0,1,0,0,0,0,4,16
00:30:00,00:45:00,1,55,0,1,0,10,0,0,0,3,0,2,1,13,0,1,0,0,0,0,6,10
00:45:00,01:00:00,1,57,0,3,0,8,0,0,0,4,0,0,0,4,0,0,1,1,0,0,0,0
01:00:00,01:15:00,0,34,0,0,0,6,0,0,0,9,0,0,0,14,0,0,0,0,0,0,0,2
01:15:00,01:30:00,1,56,0,0,0,3,0,0,0,4,0,1,0,7,0,0,0,0,0,0,0,3
01:30:00,01:45:00,0,54,0,2,0,6,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,30,0,0,0,3,0,1,0,2,0,3,1,8,0,0,0,0,0,0,0,1
02:00:00,02:15:00,0,46,0,0,0,3,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1
02:15:00,02:30:00,0,26,0,0,0,3,0,0,0,2,0,0,1,4,0,0,0,0,0,0,2,1
02:30:00,02:45:00,0,33,0,0,0,4,0,0,0,3,0,1,0,10,0,0,0,0,0,0,0,4
02:45:00,03:00:00,1,29,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
03:00:00,03:15:00,0,23,0,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,31,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,26,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,37,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
04:00:00,04:15:00,1,36,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
04:15:00,04:30:00,1,36,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:30:00,04:45:00,0,50,0,0,0,10,0,0,0,1,0,0,0,3,0,0,0,1,0,1,1,3
04:45:00,05:00:00,1,53,0,0,0,12,0,0,0,5,0,1,1,12,0,0,0,3,0,0,2,4
05:00:00,05:15:00,1,37,0,0,0,11,0,0,0,6,0,1,1,8,1,1,0,0,0,0,4,7
05:15:00,05:30:00,1,49,0,0,0,10,0,0,0,7,0,2,0,12,0,2,0,0,0,0,4,8
05:30:00,05:45:00,0,74,0,0,0,10,0,0,0,9,0,2,0,11,0,0,0,2,0,1,6,20
05:45:00,06:00:00,0,40,0,0,0,6,0,0,0,14,0,1,1,21,0,1,0,0,0,0,7,15
06:00:00,06:15:00,3,46,0,0,0,6,0,0,0,17,0,1,0,12,0,0,1,1,0,0,15,20
06:15:00,06:30:00,0,76,0,1,0,10,0,0,0,15,0,1,1,16,0,2,0,3,0,1,18,37
06:30:00,06:45:00,2,77,0,3,0,12,0,0,0,19,0,2,1,42,0,0,0,5,0,0,25,62
06:45:00,07:00:00,2,89,0,0,0,23,0,0,0,22,0,1,1,35,0,2,1,1,0,0,25,46
07:00:00,07:15:00,0,74,0,1,0,21,0,0,0,21,0,4,3,16,0,2,0,4,0,2,30,83
07:15:00,07:30:00,1,79,0,6,0,23,0,0,0,25,0,4,4,11,1,1,0,3,0,0,39,67
07:30:00,07:45:00,0,107,0,4,0,18,0,0,0,33,0,0,1,13,0,0,0,3,0,0,28,62
07:45:00,08:00:00,0,148,0,2,0,44,0,0,0,34,1,0,0,5,0,1,1,9,0,1,61,86
08:00:00,08:15:00,1,122,0,4,0,29,0,0,0,38,0,3,4,16,1,1,0,2,0,1,37,98
08:15:00,08:30:00,3,143,0,8,0,30,0,0,0,50,0,1,1,22,0,2,2,5,0,0,63,102
08:30:00,08:45:00,1,158,0,2,0,31,0,1,0,41,0,5,4,50,0,0,0,4,0,0,51,102
08:45:00,09:00:00,2,146,0,2,0,33,0,1,0,37,0,1,1,12,0,2,0,5,0,0,65,134
09:00:00,09:15:00,1,171,0,1,0,40,0,0,0,49,0,1,3,67,0,5,1,9,0,0,61,109
09:15:00,09:30:00,0,178,0,6,0,36,0,0,0,57,0,0,1,51,1,4,0,8,0,1,52,124
09:30:00,09:45:00,1,228,0,4,0,50,0,1,0,55,0,1,4,85,1,7,1,8,0,1,69,119
09:45:00,10:00:00,2,263,0,4,0,31,0,0,0,59,0,0,6,88,1,4,0,9,0,0,56,96
10:00:00,10:15:00,1,256,0,1,0,31,0,0,0,53,0,2,3,100,0,10,0,10,0,0,52,130
10:15:00,10:30:00,2,342,0,1,0,43,0,0,0,65,0,11,6,205,2,11,1,14,0,1,46,117
10:30:00,10:45:00,3,297,0,1,1,42,0,1,0,69,0,3,2,118,0,15,0,7,0,2,46,121
10:45:00,11:00:00,5,361,0,2,0,49,1,0,0,46,1,4,7,102,2,7,0,11,0,1,64,99
11:00:00,11:15:00,4,297,0,1,0,64,0,0,0,59,0,3,5,129,0,5,0,2,0,0,57,115
11:15:00,11:30:00,2,302,1,2,0,87,0,0,0,43,0,1,4,65,1,5,1,4,0,0,75,126
11:30:00,11:45:00,5,349,0,4,0,87,1,0,0,75,1,2,6,152,0,6,0,9,0,0,59,129
11:45:00,12:00:00,5,303,1,4,0,74,0,0,0,68,0,2,2,137,0,9,1,6,0,1,63,136
12:00:00,12:15:00,2,332,0,1,0,74,0,0,0,57,0,2,5,117,1,8,0,7,0,0,78,103
12:15:00,12:30:00,5,295,0,1,0,84,0,0,0,77,0,1,4,147,0,3,1,6,0,0,47,138
12:30:00,12:45:00,2,345,0,1,0,71,0,0,0,57,0,1,6,209,2,3,0,12,0,0,62,111
12:45:00,13:00:00,6,280,0,2,0,63,1,0,0,44,0,1,4,76,0,3,0,9,0,1,47,136
13:00:00,13:15:00,3,278,0,3,0,82,0,0,0,60,0,1,5,191,1,4,1,12,0,1,51,144
13:15:00,13:30:00,6,290,1,2,0,72,0,0,0,56,0,4,3,237,2,3,0,13,0,0,82,131
13:30:00,13:45:00,4,255,0,7,0,90,0,1,0,57,0,0,4,173,0,9,0,10,0,0,53,155
13:45:00,14:00:00,3,292,0,2,0,79,0,1,0,64,0,1,3,110,0,2,1,12,0,0,62,104
14:00:00,14:15:00,4,257,1,8,0,63,1,1,0,73,0,2,4,111,1,3,0,7,0,0,42,120
14:15:00,14:30:00,5,278,0,5,0,80,0,0,0,40,0,0,4,98,1,7,1,11,0,0,43,105
14:30:00,14:45:00,4,254,0,5,0,70,0,0,0,54,0,2,3,140,0,5,0,11,0,0,53,124
14:45:00,15:00:00,3,271,0,2,0,50,1,0,0,48,0,5,5,137,1,2,0,14,0,1,44,90
15:00:00,15:15:00,1,228,0,3,0,66,0,1,0,46,0,1,3,200,0,15,0,4,0,1,47,86
15:15:00,15:30:00,5,205,0,1,0,52,0,1,0,43,0,1,5,109,0,6,0,4,0,0,48,118
15:30:00,15:45:00,5,271,0,8,0,74,0,1,0,37,0,1,6,126,0,2,0,4,0,0,53,96
15:45:00,16:00:00,3,191,0,5,0,92,0,1,0,54,0,1,1,109,0,6,0,11,0,0,29,96
16:00:00,16:15:00,3,240,0,3,0,72,0,0,0,42,0,0,1,100,1,2,0,5,0,0,61,85
16:15:00,16:30:00,5,255,0,0,0,70,0,0,0,51,0,1,3,69,0,4,0,7,0,1,35,100
16:30:00,16:45:00,3,194,0,3,0,74,0,0,0,43,0,2,1,64,0,0,1,3,0,0,41,96
16:45:00,17:00:00,2,186,0,3,0,71,0,2,0,39,0,0,1,53,0,1,0,3,0,0,38,90
17:00:00,17:15:00,6,203,0,1,0,70,0,1,0,46,0,1,0,30,0,0,0,8,0,1,38,115
17:15:00,17:30:00,3,219,0,5,0,83,0,1,0,35,0,1,0,23,0,0,0,5,0,1,44,89
17:30:00,17:45:00,5,208,0,2,0,63,1,0,0,34,0,3,0,15,0,0,0,10,0,0,58,101
17:45:00,18:00:00,5,216,0,1,0,78,0,0,0,47,1,0,0,92,0,3,0,9,0,1,62,119
18:00:00,18:15:00,4,156,0,0,0,65,0,0,0,50,0,2,2,63,0,1,0,4,0,0,47,160
18:15:00,18:30:00,6,191,0,1,0,50,0,0,0,17,0,2,0,62,0,1,1,6,0,0,65,167
18:30:00,18:45:00,2,181,0,0,0,47,0,0,0,21,0,0,3,59,0,2,0,2,0,0,41,164
18:45:00,19:00:00,3,173,0,1,0,36,0,0,0,11,0,0,2,65,0,0,0,6,0,0,42,115
19:00:00,19:15:00,4,142,0,0,0,34,0,0,0,13,0,0,2,66,0,1,0,4,0,0,41,108
19:15:00,19:30:00,2,152,0,0,0,24,0,0,0,14,0,1,1,48,0,0,0,4,0,0,40,106
19:30:00,19:45:00,1,122,0,3,0,26,0,0,0,6,0,0,0,38,0,1,0,0,0,0,30,92
19:45:00,20:00:00,4,110,0,1,0,29,0,0,0,15,0,0,3,19,1,2,0,11,0,0,25,73
20:00:00,20:15:00,4,133,0,2,0,25,0,0,0,9,0,0,1,20,0,1,0,2,0,0,13,45
20:15:00,20:30:00,2,117,0,1,0,25,0,0,0,10,0,0,1,23,0,0,0,2,0,0,12,44
20:30:00,20:45:00,3,118,0,2,0,23,0,0,0,14,0,1,1,37,0,0,0,4,0,0,16,36
20:45:00,21:00:00,2,112,0,1,0,16,0,0,0,4,0,1,2,19,0,0,0,0,0,0,3,21
21:00:00,21:15:00,2,110,0,1,0,17,0,0,0,9,0,1,1,26,0,1,0,2,0,0,13,20
21:15:00,21:30:00,2,86,0,0,0,19,0,0,0,12,0,1,0,30,0,0,0,0,0,1,10,35
21:30:00,21:45:00,4,80,0,0,0,11,0,0,0,5,0,0,0,11,0,0,0,1,0,0,1,6
21:45:00,22:00:00,1,53,0,0,0,7,0,0,0,8,0,0,0,13,0,0,0,2,0,0,5,21
22:00:00,22:15:00,2,59,0,0,0,13,0,0,0,6,0,2,1,18,0,0,0,1,0,0,6,7
22:15:00,22:30:00,3,32,0,0,0,14,0,0,0,10,0,1,1,12,0,1,0,1,0,0,2,9
22:30:00,22:45:00,2,43,0,0,0,13,0,0,0,3,0,0,1,9,0,0,0,0,0,1,2,7
