Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,3,49,0,0,0,13,0,0,0,10,0,0,1,13,0,1,0,0,0,0,3,16
00:15:00,00:30:00,0,47,0,1,0,8,0,0,0,5,0,1,1,6,0,0,0,1,0,0,0,4
00:30:00,00:45:00,1,32,0,0,0,3,0,0,0,3,0,1,1,8,0,0,0,2,0,0,0,0
00:45:00,01:00:00,0,29,0,0,0,1,0,0,0,5,0,1,1,6,0,0,0,0,0,0,1,0
01:00:00,01:15:00,1,39,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0
01:15:00,01:30:00,0,23,0,0,0,5,0,0,0,5,0,0,1,3,0,0,0,0,0,0,1,2
01:30:00,01:45:00,0,22,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,2,0,0,2,1
01:45:00,02:00:00,1,19,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
02:00:00,02:15:00,1,21,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,19,0,0,0,5,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0
02:30:00,02:45:00,0,22,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,16,0,0,0,2,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,19,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,15,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,25,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04:00:00,04:15:00,0,50,0,0,0,6,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0
04:15:00,04:30:00,2,47,0,1,0,12,0,0,0,3,0,1,3,2,0,0,1,2,0,0,0,0
04:30:00,04:45:00,0,63,0,0,0,9,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3
04:45:00,05:00:00,3,87,0,1,0,14,0,0,0,7,0,0,1,12,1,0,0,0,0,0,5,6
05:00:00,05:15:00,1,55,0,2,0,16,0,2,0,9,0,1,0,10,0,2,0,0,0,0,2,2
05:15:00,05:30:00,1,80,0,3,0,20,0,0,0,14,0,4,1,11,0,2,0,0,0,2,3,6
05:30:00,05:45:00,1,90,0,1,0,6,0,0,0,16,0,1,1,8,0,3,1,0,0,1,8,28
05:45:00,06:00:00,0,57,0,2,0,11,0,0,0,12,0,1,2,24,0,1,0,0,0,0,8,26
06:00:00,06:15:00,0,90,0,3,0,10,0,0,0,19,0,1,0,22,0,0,0,1,0,0,15,28
06:15:00,06:30:00,0,90,0,2,0,12,0,0,0,12,0,4,0,42,0,1,0,1,0,0,24,50
06:30:00,06:45:00,3,97,0,9,0,17,0,0,0,24,0,2,4,68,1,0,0,3,0,1,21,66
