Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,0,43,0,1,0,5,0,0,0,9,0,0,0,9,0,0,0,0,0,0,2,5
00:15:00,00:30:00,0,28,0,0,0,0,0,0,0,11,0,1,0,10,0,0,0,1,0,0,0,2
00:30:00,00:45:00,0,21,0,0,0,1,0,0,0,6,0,0,0,14,0,0,0,2,0,0,0,0
00:45:00,01:00:00,0,23,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,3
01:00:00,01:15:00,0,23,0,0,0,0,0,0,0,10,0,3,0,8,0,0,0,0,0,0,0,0
01:15:00,01:30:00,0,17,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,1
01:30:00,01:45:00,0,25,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,8,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0
02:00:00,02:15:00,0,13,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:30:00,02:45:00,0,10,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,20,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
03:30:00,03:45:00,0,18,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,14,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
04:00:00,04:15:00,0,9,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
04:15:00,04:30:00,0,10,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
04:30:00,04:45:00,0,35,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
04:45:00,05:00:00,0,39,0,1,0,2,0,0,0,4,0,1,0,7,0,0,0,0,0,0,0,0
05:00:00,05:15:00,2,42,0,0,0,1,0,0,0,4,0,1,1,3,0,0,0,0,0,0,0,0
05:15:00,05:30:00,1,33,0,1,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0
05:30:00,05:45:00,1,55,0,0,0,9,0,0,0,2,0,3,0,4,0,0,0,0,0,0,1,0
05:45:00,06:00:00,1,46,0,0,0,11,0,0,0,11,0,2,0,5,0,1,0,1,0,0,1,4
06:00:00,06:15:00,2,67,0,0,0,9,0,0,0,17,0,1,0,4,0,0,0,0,0,0,1,5
06:15:00,06:30:00,3,79,0,3,0,17,0,0,0,17,0,3,0,10,0,1,1,4,0,0,1,9
06:30:00,06:45:00,3,94,0,4,0,28,0,0,0,16,0,0,2,16,0,1,0,2,0,0,0,5
06:45:00,07:00:00,1,79,0,7,0,20,0,1,0,30,0,2,1,24,0,2,0,9,0,1,0,8
07:00:00,07:15:00,2,101,0,0,0,14,0,1,0,13,0,3,2,11,0,1,0,0,0,0,0,5
07:15:00,07:30:00,5,131,0,0,0,28,0,1,0,14,0,3,5,13,0,1,0,3,0,2,1,5
07:30:00,07:45:00,2,116,0,1,0,25,0,0,0,33,0,2,3,15,0,1,0,3,0,0,3,9
07:45:00,08:00:00,4,139,0,1,0,40,0,1,0,25,0,2,1,16,0,0,0,1,0,0,4,5
08:00:00,08:15:00,2,108,0,1,0,11,0,0,0,21,0,2,0,14,0,2,0,2,0,0,2,18
08:15:00,08:30:00,5,179,0,2,0,5,0,0,0,27,0,4,3,30,0,1,0,7,0,0,3,20
08:30:00,08:45:00,3,162,0,1,0,24,0,0,0,31,0,4,3,12,0,0,0,2,0,3,5,16
08:45:00,09:00:00,6,194,0,0,0,32,0,0,0,30,0,2,3,19,0,2,0,3,0,0,3,18
09:00:00,09:15:00,3,150,0,3,0,34,0,1,0,31,0,8,3,64,0,3,1,1,0,2,3,23
