Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,0,16,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
00:15:00,00:30:00,1,17,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,1
00:30:00,00:45:00,0,12,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
00:45:00,01:00:00,0,10,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
01:00:00,01:15:00,1,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
01:15:00,01:30:00,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
01:30:00,01:45:00,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,02:15:00,0,5,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:30:00,02:45:00,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,5,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,14,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
04:00:00,04:15:00,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:15:00,04:30:00,1,32,0,0,0,5,0,0,0,10,0,4,0,1,0,0,0,0,0,0,0,0
04:30:00,04:45:00,0,48,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1
04:45:00,05:00:00,1,69,0,0,0,11,0,0,0,4,0,0,0,11,0,2,0,1,0,1,2,4
05:00:00,05:15:00,0,95,0,0,0,10,0,0,0,4,0,1,0,14,0,0,0,0,0,0,2,5
05:15:00,05:30:00,3,77,0,1,0,21,0,0,0,7,0,2,0,21,1,3,0,0,0,0,5,6
05:30:00,05:45:00,1,128,0,0,0,16,0,0,0,15,0,2,0,20,0,3,0,0,0,2,5,18
05:45:00,06:00:00,3,123,0,3,0,19,0,1,0,12,0,8,1,11,0,5,0,1,0,3,9,17
06:00:00,06:15:00,2,157,1,4,0,34,0,0,0,11,0,3,1,12,0,9,1,1,0,0,9,21
06:15:00,06:30:00,3,194,0,7,0,45,0,1,0,14,0,4,0,23,0,5,0,0,0,0,5,11
06:30:00,06:45:00,1,182,0,3,0,35,0,0,0,24,0,4,0,9,0,4,0,2,0,3,19,29
06:45:00,07:00:00,3,202,0,0,0,33,0,1,0,18,0,1,0,32,0,3,0,0,0,0,9,24
07:00:00,07:15:00,4,168,0,7,0,21,0,0,0,30,0,2,0,8,0,3,0,1,0,0,12,35
07:15:00,07:30:00,7,233,0,5,0,42,0,0,0,27,0,0,0,27,0,1,0,1,0,2,19,30
07:30:00,07:45:00,3,221,0,1,0,39,0,1,0,27,0,5,0,9,0,1,0,0,0,4,19,28
07:45:00,08:00:00,5,254,0,3,0,35,0,0,0,49,0,4,1,52,0,3,0,4,0,1,26,31
08:00:00,08:15:00,3,248,0,9,0,28,0,1,0,24,0,1,0,107,0,3,1,3,0,0,17,31
08:15:00,08:30:00,4,231,0,8,0,42,0,1,0,32,0,1,0,34,0,3,0,5,0,0,33,52
08:30:00,08:45:00,4,281,0,6,0,42,0,1,0,37,0,7,0,52,0,1,0,6,0,0,21,34
08:45:00,09:00:00,3,227,0,4,0,39,0,0,0,48,0,5,0,8,0,0,0,0,0,2,13,46
09:00:00,09:15:00,2,194,0,8,0,47,0,0,0,33,0,2,0,58,0,0,1,0,0,0,18,36
09:15:00,09:30:00,3,166,1,5,0,35,0,1,0,30,0,5,0,21,0,2,0,3,0,0,21,41
09:30:00,09:45:00,2,185,1,17,0,32,0,1,0,35,0,6,0,53,0,1,0,2,0,0,26,34
09:45:00,10:00:00,5,202,0,11,0,49,0,0,0,40,0,3,0,17,1,0,0,2,0,1,17,34
10:00:00,10:15:00,1,208,0,7,0,44,0,2,0,49,0,8,0,24,0,1,1,6,0,0,23,60
10:15:00,10:30:00,6,283,0,12,0,44,0,1,0,24,0,4,0,19,0,3,0,3,0,1,26,52
10:30:00,10:45:00,3,203,0,5,0,36,0,0,0,46,0,3,0,17,0,0,0,2,0,0,24,57
10:45:00,11:00:00,4,315,0,5,0,57,0,1,0,41,0,3,0,21,2,1,0,7,0,1,26,50
11:00:00,11:15:00,4,199,0,15,0,49,0,1,0,34,0,2,0,28,0,0,1,4,0,0,29,64
11:15:00,11:30:00,5,215,0,14,0,49,0,1,0,53,0,5,0,42,0,1,0,4,0,3,28,46
11:30:00,11:45:00,4,249,0,3,0,80,0,0,0,32,0,1,0,12,2,1,0,5,0,0,33,52
11:45:00,12:00:00,4,215,0,8,0,70,0,0,0,47,0,5,1,38,0,2,1,5,0,2,18,63
12:00:00,12:15:00,2,290,0,5,0,72,0,0,0,37,0,3,0,20,0,2,0,3,0,1,44,81
12:15:00,12:30:00,5,269,0,11,0,58,0,1,0,61,0,3,0,18,0,0,1,5,0,1,31,63
12:30:00,12:45:00,4,280,0,7,0,66,0,2,0,49,0,3,1,25,0,0,0,5,0,0,35,58
12:45:00,13:00:00,3,237,0,9,0,47,0,2,0,44,0,3,0,23,1,2,0,4,0,2,23,58
13:00:00,13:15:00,4,304,0,4,0,59,0,0,0,51,0,2,1,22,0,2,0,3,0,0,34,67
13:15:00,13:30:00,4,288,0,10,0,68,0,3,0,43,0,4,0,20,0,1,1,4,0,0,32,57
13:30:00,13:45:00,6,251,0,9,0,58,0,0,0,56,0,0,0,18,0,2,0,6,0,0,24,62
13:45:00,14:00:00,4,297,0,9,0,54,0,1,0,37,0,3,0,29,0,1,0,3,0,1,24,45
14:00:00,14:15:00,1,246,1,10,0,48,0,0,0,39,0,3,0,15,1,1,0,6,0,0,31,55
14:15:00,14:30:00,7,253,0,14,0,44,0,1,0,29,0,0,0,20,0,1,0,4,0,0,26,37
14:30:00,14:45:00,3,277,0,10,0,50,0,1,0,43,0,1,0,42,0,6,0,3,0,0,23,52
14:45:00,15:00:00,5,290,0,11,0,45,0,2,0,38,0,4,0,15,0,0,0,4,0,0,27,48
15:00:00,15:15:00,4,284,0,9,0,45,0,0,0,35,0,4,0,8,0,2,0,3,0,1,21,48
15:15:00,15:30:00,4,283,0,10,0,55,0,0,0,32,0,5,0,18,0,3,0,2,0,0,6,42
15:30:00,15:45:00,8,337,0,11,0,55,0,0,0,35,0,0,1,14,0,2,0,2,0,0,22,44
15:45:00,16:00:00,8,273,0,4,0,47,0,0,0,36,0,4,0,23,0,3,0,0,0,0,22,35
16:00:00,16:15:00,2,297,0,10,0,56,0,1,0,30,0,2,0,44,0,0,0,1,0,1,14,42
16:15:00,16:30:00,6,294,0,1,0,56,0,0,0,40,0,3,1,17,0,1,0,1,0,1,19,39
16:30:00,16:45:00,5,290,0,2,0,50,0,0,0,26,0,2,0,29,0,1,0,2,0,0,32,52
16:45:00,17:00:00,5,323,0,3,0,51,0,2,0,27,0,3,0,25,0,0,0,2,0,1,26,49
17:00:00,17:15:00,5,300,0,2,0,47,0,1,0,30,0,2,0,14,1,0,0,6,0,1,28,55
17:15:00,17:30:00,3,280,0,8,0,47,0,0,0,22,0,1,0,12,0,0,0,5,0,0,28,65
17:30:00,17:45:00,7,317,0,1,0,41,0,3,0,28,0,2,0,9,0,0,0,1,0,0,34,63
17:45:00,18:00:00,5,255,0,2,0,57,0,0,0,24,0,2,0,13,0,0,0,1,0,2,39,51
18:00:00,18:15:00,4,165,0,0,0,19,0,0,0,11,0,3,0,26,1,0,0,1,0,0,30,68
18:15:00,18:30:00,0,96,0,2,0,19,0,0,0,4,0,0,0,24,0,1,0,1,0,0,30,56
18:30:00,18:45:00,0,55,0,0,0,15,0,0,0,6,0,0,0,23,0,0,0,2,0,0,24,61
18:45:00,19:00:00,0,55,0,1,0,13,0,0,0,5,0,0,0,25,0,0,0,3,0,0,18,36
19:00:00,19:15:00,0,79,0,1,0,15,0,0,0,11,0,0,0,6,0,0,0,2,0,0,18,40
19:15:00,19:30:00,2,47,0,1,0,9,0,0,0,1,0,1,0,11,0,0,0,1,0,0,22,41
19:30:00,19:45:00,5,41,0,1,0,7,0,0,0,4,0,0,0,10,0,0,0,2,0,0,4,33
19:45:00,20:00:00,0,50,0,0,0,8,0,0,0,3,0,0,0,10,0,1,0,1,0,0,11,17
20:00:00,20:15:00,0,37,0,0,0,9,0,0,0,3,0,1,0,5,0,0,0,3,0,0,14,32
20:15:00,20:30:00,2,75,0,0,0,12,0,0,0,3,0,0,0,6,0,0,0,0,0,0,7,27
20:30:00,20:45:00,0,76,0,0,0,12,0,0,0,2,0,0,0,9,0,0,0,0,0,0,2,18
20:45:00,21:00:00,3,66,0,0,0,10,0,0,0,2,0,0,0,7,0,0,0,0,0,0,9,10
21:00:00,21:15:00,2,61,0,0,0,6,0,0,0,4,0,0,0,5,0,0,0,0,0,0,6,17
21:15:00,21:30:00,1,56,0,0,0,9,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,2
21:30:00,21:45:00,1,42,0,0,0,4,0,0,0,3,0,0,0,5,0,0,0,1,0,0,3,11
21:45:00,22:00:00,2,48,0,0,0,6,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,4
22:00:00,22:15:00,0,33,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
22:15:00,22:30:00,3,23,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2
22:30:00,22:45:00,1,24,0,0,0,1,0,0,0,2,0,0,0,5,0,0,1,1,0,0,0,0
22:45:00,23:00:00,0,25,0,0,0,4,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0
23:00:00,23:15:00,1,23,0,0,0,3,0,0,0,4,0,1,0,2,0,0,0,0,0,0,2,4
23:15:00,23:30:00,0,22,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
23:30:00,23:45:00,1,16,0,0,0,2,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0
23:45:00,24:00:00,1,12,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0
