Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:15:00,00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:30:00,00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:45:00,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:00:00,01:15:00,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01:15:00,01:30:00,0,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
01:30:00,01:45:00,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02:00:00,02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
02:30:00,02:45:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
04:00:00,04:15:00,0,29,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
04:15:00,04:30:00,0,30,0,0,0,3,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,1
04:30:00,04:45:00,0,78,0,0,0,5,0,0,0,1,0,1,0,6,0,1,0,0,0,0,1,4
04:45:00,05:00:00,0,94,0,0,0,7,0,0,0,3,0,0,0,26,0,0,0,0,0,0,1,7
05:00:00,05:15:00,0,102,0,0,0,21,0,0,0,7,0,1,1,26,0,4,0,1,0,0,1,5
05:15:00,05:30:00,3,89,0,3,0,23,0,0,0,14,0,3,1,30,0,1,0,0,0,2,5,26
05:30:00,05:45:00,2,124,0,2,0,24,0,0,0,24,0,3,1,42,0,1,0,0,0,0,12,32
05:45:00,06:00:00,0,98,0,2,0,17,0,3,0,12,0,3,2,46,0,6,0,4,0,1,21,33
