Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,2,27,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
00:15:00,00:30:00,1,9,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
00:30:00,00:45:00,1,12,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
00:45:00,01:00:00,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
01:00:00,01:15:00,0,8,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
01:15:00,01:30:00,2,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
01:30:00,01:45:00,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
02:00:00,02:15:00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
02:15:00,02:30:00,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02:30:00,02:45:00,0,7,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,15,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
03:30:00,03:45:00,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,18,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
04:00:00,04:15:00,0,23,0,0,0,4,0,0,0,2,0,1,1,4,0,0,0,0,0,0,0,0
04:15:00,04:30:00,1,33,0,0,0,8,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,2
04:30:00,04:45:00,0,60,0,1,0,8,0,0,0,2,0,0,0,6,0,1,0,1,0,0,3,5
04:45:00,05:00:00,3,102,0,0,0,13,0,1,0,6,0,3,2,18,0,3,0,2,0,0,1,7
05:00:00,05:15:00,0,88,0,0,0,27,0,0,0,10,0,3,1,17,0,4,0,1,0,0,5,10
05:15:00,05:30:00,2,99,0,5,0,25,0,0,0,8,0,0,1,23,0,3,0,0,0,0,9,15
05:30:00,05:45:00,0,96,0,3,0,14,0,1,0,15,0,1,1,33,0,7,0,0,0,0,18,29
05:45:00,06:00:00,1,140,0,2,0,29,0,1,0,18,0,2,1,25,0,9,0,0,0,0,4,30
06:00:00,06:15:00,0,174,0,3,0,24,0,2,0,28,0,1,0,45,0,8,0,1,0,0,16,40
06:15:00,06:30:00,2,124,0,1,0,22,0,0,0,25,0,1,0,61,0,3,2,2,0,2,18,45
06:30:00,06:45:00,2,148,0,10,0,29,0,0,0,28,0,4,1,29,0,9,0,5,0,1,15,45
06:45:00,07:00:00,3,76,0,0,0,9,0,0,0,23,0,2,1,14,0,3,0,0,0,2,12,26
07:00:00,07:15:00,2,49,0,7,0,9,0,0,0,15,0,1,0,9,0,3,0,1,0,1,8,19
07:15:00,07:30:00,4,164,0,21,0,25,0,0,0,26,0,5,5,87,0,8,1,1,0,2,27,55
07:30:00,07:45:00,1,140,0,17,0,20,0,0,0,56,0,0,3,90,1,6,0,1,0,0,22,46
07:45:00,08:00:00,1,191,0,21,0,31,0,1,0,38,0,3,3,86,0,9,0,3,0,3,27,60
08:00:00,08:15:00,4,213,0,7,0,39,0,0,0,36,0,7,6,61,0,6,1,5,0,2,44,47
08:15:00,08:30:00,1,204,0,9,0,20,0,0,0,45,0,4,7,96,0,3,1,3,0,0,31,58
08:30:00,08:45:00,1,204,0,9,0,24,0,1,0,47,0,2,5,108,1,10,0,2,0,0,18,43
08:45:00,09:00:00,1,174,0,12,0,27,0,0,0,31,0,3,4,34,0,3,0,7,0,1,21,46
09:00:00,09:15:00,0,193,0,10,0,22,0,2,0,41,0,2,3,114,0,10,0,3,0,0,25,44
09:15:00,09:30:00,4,203,0,15,0,33,0,1,0,38,0,1,5,35,0,6,0,1,0,3,22,34
09:30:00,09:45:00,0,200,0,11,0,37,0,0,0,33,0,0,5,98,0,7,0,2,0,3,28,49
09:45:00,10:00:00,5,269,0,8,0,40,0,2,0,27,0,5,4,33,0,4,1,9,0,4,17,40
10:00:00,10:15:00,2,249,0,12,0,38,0,2,0,38,0,3,4,40,0,8,0,5,0,0,20,70
10:15:00,10:30:00,5,288,0,12,0,41,0,3,0,30,0,3,4,56,0,7,1,1,0,2,24,48
10:30:00,10:45:00,2,260,0,7,0,52,0,0,0,31,0,3,4,58,0,11,0,1,0,2,24,52
10:45:00,11:00:00,7,251,0,6,0,44,0,1,0,41,2,1,3,87,2,12,2,4,0,0,31,65
11:00:00,11:15:00,4,243,1,11,0,42,0,0,0,40,0,6,4,51,1,6,0,2,0,1,26,53
11:15:00,11:30:00,6,257,0,7,0,57,0,2,0,31,0,4,8,91,0,12,0,3,0,3,22,63
11:30:00,11:45:00,4,250,0,16,0,68,0,0,0,36,0,1,4,72,0,7,0,5,0,0,35,63
11:45:00,12:00:00,3,268,0,9,0,56,0,1,0,44,1,4,5,56,0,10,0,2,0,0,27,52
12:00:00,12:15:00,3,303,0,6,0,90,0,1,0,49,0,5,3,55,0,5,0,1,0,1,30,54
