Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,0,13,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0,0,0,0,5,0
00:15:00,00:30:00,0,11,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
00:30:00,00:45:00,0,6,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
00:45:00,01:00:00,1,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
01:00:00,01:15:00,0,4,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0
01:15:00,01:30:00,0,4,0,0,0,1,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0
01:30:00,01:45:00,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,02:15:00,0,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
02:30:00,02:45:00,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,15,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,04:15:00,3,36,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
04:15:00,04:30:00,1,44,0,0,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0
04:30:00,04:45:00,2,80,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
04:45:00,05:00:00,0,77,0,0,0,10,0,0,0,3,0,2,1,21,0,1,0,0,0,0,0,5
05:00:00,05:15:00,1,93,0,0,0,11,0,0,0,5,0,1,1,16,0,2,0,0,0,0,2,6
05:15:00,05:30:00,1,82,0,1,0,28,0,1,0,13,0,2,1,32,0,2,0,0,0,0,7,8
05:30:00,05:45:00,1,108,0,2,0,29,0,1,0,10,0,2,3,34,0,5,0,0,0,1,7,23
05:45:00,06:00:00,2,101,0,2,0,27,0,1,0,13,0,4,2,39,1,9,0,1,0,0,5,15
06:00:00,06:15:00,2,181,0,7,0,23,0,1,0,19,0,3,2,46,1,5,0,3,0,0,5,15
06:15:00,06:30:00,2,154,0,5,0,39,0,1,0,13,0,1,3,47,0,4,0,1,0,0,11,29
06:30:00,06:45:00,1,201,0,5,0,37,0,2,0,17,0,7,2,6,0,4,0,0,0,3,11,33
06:45:00,07:00:00,3,174,0,8,0,42,0,4,0,26,0,9,5,20,0,3,0,0,0,1,23,37
07:00:00,07:15:00,4,179,0,7,0,47,0,3,0,28,0,8,3,18,0,4,0,0,0,3,14,44
07:15:00,07:30:00,4,207,0,6,0,29,0,1,0,28,0,6,7,60,0,10,1,6,0,0,20,48
07:30:00,07:45:00,4,265,0,6,0,36,0,1,0,27,0,11,5,76,0,12,0,2,0,4,21,56
07:45:00,08:00:00,3,239,0,3,0,30,0,0,0,35,0,4,5,146,1,21,0,4,0,1,11,49
08:00:00,08:15:00,5,227,0,1,0,33,0,0,0,27,0,4,8,194,0,20,0,3,0,2,22,43
08:15:00,08:30:00,6,244,0,7,0,54,0,1,0,43,0,6,2,125,0,11,1,6,0,2,17,49
08:30:00,08:45:00,5,263,0,8,0,38,0,2,0,34,0,4,5,212,0,17,0,3,0,0,27,50
08:45:00,09:00:00,5,202,0,6,0,44,0,0,0,33,0,0,2,42,0,3,1,5,0,0,19,49
09:00:00,09:15:00,4,258,0,10,0,40,0,1,0,26,0,2,3,98,0,9,0,5,0,0,23,46
09:15:00,09:30:00,4,208,0,7,0,33,0,0,0,35,0,6,5,67,0,9,0,2,0,2,17,44
09:30:00,09:45:00,5,207,0,12,0,35,0,1,0,19,0,5,4,86,2,9,0,0,0,1,16,54
09:45:00,10:00:00,6,216,0,9,0,34,0,4,0,44,0,3,4,55,0,3,0,1,0,1,13,26
10:00:00,10:15:00,3,189,0,6,0,30,0,3,0,23,0,7,3,66,0,10,0,2,0,1,14,40
10:15:00,10:30:00,5,260,0,8,0,19,0,0,0,29,0,7,4,26,0,3,1,2,0,1,24,54
10:30:00,10:45:00,3,177,0,10,0,33,0,0,0,41,0,4,4,35,0,6,1,1,0,1,16,51
10:45:00,11:00:00,0,237,0,11,0,47,0,0,0,43,0,4,5,65,0,11,1,5,0,1,20,46
11:00:00,11:15:00,3,154,0,12,0,44,0,2,0,44,0,4,4,48,0,3,2,6,0,2,17,63
11:15:00,11:30:00,5,252,2,9,0,62,0,0,0,33,0,6,7,51,0,9,0,3,0,2,15,52
11:30:00,11:45:00,4,258,1,9,0,75,0,1,0,38,1,4,3,62,1,2,0,4,0,2,21,54
11:45:00,12:00:00,3,233,0,5,0,70,0,1,0,58,0,2,4,25,0,6,0,4,0,0,18,63
12:00:00,12:15:00,2,258,3,7,1,70,0,2,0,42,1,1,3,58,0,11,0,7,0,0,17,38
12:15:00,12:30:00,4,229,0,7,0,61,0,0,0,44,0,5,3,75,0,7,0,4,0,2,29,87
12:30:00,12:45:00,4,249,0,10,1,62,0,3,0,32,0,4,7,73,0,11,0,7,0,1,33,61
12:45:00,13:00:00,5,217,1,8,0,41,0,0,0,42,0,1,4,28,1,7,1,4,0,2,23,79
13:00:00,13:15:00,3,279,0,9,0,47,0,2,0,25,0,4,6,42,0,5,0,4,0,2,27,56
13:15:00,13:30:00,6,248,0,10,0,42,0,1,0,31,0,1,4,42,2,7,0,3,0,0,18,42
13:30:00,13:45:00,5,239,1,6,0,19,0,1,0,38,0,1,5,58,0,12,0,4,0,0,34,76
13:45:00,14:00:00,5,273,0,11,0,34,0,0,0,42,0,3,5,64,0,8,1,2,0,1,25,54
14:00:00,14:15:00,5,202,0,5,0,49,0,1,0,40,0,4,4,66,1,11,0,5,0,2,21,62
14:15:00,14:30:00,6,291,0,12,0,43,0,0,0,21,0,1,4,86,0,15,0,3,0,0,14,44
14:30:00,14:45:00,5,299,0,12,0,46,0,1,0,48,0,3,2,80,0,12,0,2,0,1,8,43
14:45:00,15:00:00,4,273,0,6,0,44,0,0,0,28,0,2,6,61,0,5,1,3,0,0,20,46
15:00:00,15:15:00,3,303,0,5,0,55,0,1,0,20,0,3,5,45,1,9,0,3,0,1,11,48
15:15:00,15:30:00,4,301,0,12,0,45,0,2,0,31,0,2,3,65,0,4,1,5,0,1,24,57
15:30:00,15:45:00,7,354,0,4,0,53,0,0,0,24,0,6,3,52,0,3,0,2,0,2,12,42
15:45:00,16:00:00,6,276,0,5,0,49,0,1,0,15,0,1,6,34,0,4,0,3,0,2,16,48
16:00:00,16:15:00,3,371,0,4,0,64,0,0,0,32,0,2,2,50,0,6,0,2,0,0,22,51
16:15:00,16:30:00,4,352,0,7,0,39,0,0,0,42,0,3,5,95,0,8,1,2,0,0,17,59
16:30:00,16:45:00,5,287,0,6,0,51,0,2,0,24,0,3,5,61,0,4,0,4,0,1,24,49
16:45:00,17:00:00,2,369,0,3,0,55,0,0,0,22,0,2,3,40,0,2,0,3,0,0,29,68
17:00:00,17:15:00,2,302,0,2,0,39,1,1,0,27,0,0,0,28,0,0,0,4,0,0,30,56
17:15:00,17:30:00,2,330,0,7,0,42,0,1,0,20,0,1,0,42,0,0,0,2,0,1,24,57
17:30:00,17:45:00,5,260,0,0,0,53,0,0,0,23,0,3,0,43,0,0,1,4,0,0,33,71
17:45:00,18:00:00,5,305,0,0,0,40,0,0,0,51,0,1,1,25,0,3,0,5,0,0,27,59
