Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,2,12,0,0,0,3,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2
00:15:00,00:30:00,1,22,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1
00:30:00,00:45:00,1,24,0,0,0,4,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,2
00:45:00,01:00:00,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:00:00,01:15:00,1,10,0,1,0,1,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0
01:15:00,01:30:00,0,11,0,0,0,2,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,3
01:30:00,01:45:00,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:45:00,02:00:00,0,7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
02:00:00,02:15:00,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,10,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02:30:00,02:45:00,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:45:00,03:00:00,1,10,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03:00:00,03:15:00,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,19,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,04:15:00,1,43,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
04:15:00,04:30:00,2,41,0,2,0,5,0,3,0,2,0,1,1,1,0,0,0,0,0,0,0,0
04:30:00,04:45:00,0,79,0,3,0,8,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2
04:45:00,05:00:00,1,92,0,1,0,10,0,1,0,10,0,2,0,7,0,0,0,0,0,0,2,4
05:00:00,05:15:00,0,104,0,2,0,14,0,2,0,14,0,2,0,10,0,1,0,1,0,1,0,3
05:15:00,05:30:00,2,87,0,0,0,15,0,0,0,11,0,2,0,13,0,1,0,0,0,1,5,10
05:30:00,05:45:00,1,116,0,4,0,15,0,3,0,11,0,5,0,15,0,3,0,2,0,0,14,23
05:45:00,06:00:00,2,109,0,8,0,9,0,0,0,14,0,2,0,18,0,7,0,3,0,0,15,27
06:00:00,06:15:00,1,148,0,0,0,14,0,0,0,25,0,3,0,24,0,0,0,1,0,1,18,25
06:15:00,06:30:00,2,154,0,9,0,17,0,1,0,19,0,3,0,36,0,1,0,2,0,0,12,25
06:30:00,06:45:00,2,181,0,10,0,16,0,0,0,22,0,5,1,25,0,3,0,1,0,3,20,36
06:45:00,07:00:00,3,164,0,9,0,22,0,1,0,20,0,3,0,45,0,5,0,0,0,0,27,34
07:00:00,07:15:00,5,163,0,10,0,31,0,1,0,25,0,2,0,11,0,0,1,1,0,0,17,41
07:15:00,07:30:00,5,142,0,11,0,16,0,0,0,17,0,2,0,22,0,3,0,2,0,1,24,49
07:30:00,07:45:00,2,151,0,13,0,20,0,0,0,31,0,4,0,19,0,3,0,2,0,1,24,39
07:45:00,08:00:00,1,182,0,7,0,21,0,0,0,36,0,2,0,14,0,1,0,1,0,1,11,30
08:00:00,08:15:00,0,145,0,4,0,20,0,0,0,31,0,2,0,26,0,2,0,2,0,1,25,40
08:15:00,08:30:00,2,193,0,9,0,18,0,0,0,42,0,6,0,74,0,2,0,2,0,2,14,41
08:30:00,08:45:00,5,218,0,9,0,17,0,0,0,34,0,5,0,79,0,2,0,1,0,1,19,27
08:45:00,09:00:00,2,158,0,10,0,17,0,1,0,34,0,5,0,32,0,4,0,2,0,0,24,47
09:00:00,09:15:00,3,167,0,9,0,16,0,0,0,31,0,2,0,15,0,0,1,2,0,1,14,39
09:15:00,09:30:00,3,209,0,10,0,19,0,0,0,37,0,8,0,11,0,0,1,1,0,2,16,45
09:30:00,09:45:00,1,211,0,18,0,18,0,0,0,46,0,3,0,31,2,2,0,4,0,0,20,38
09:45:00,10:00:00,2,234,0,8,0,21,0,0,0,24,0,5,0,19,1,1,0,4,0,0,19,32
10:00:00,10:15:00,4,274,0,13,0,47,0,2,0,35,0,5,0,26,0,1,0,2,0,1,14,32
10:15:00,10:30:00,2,338,0,11,0,31,0,0,0,27,0,1,0,20,0,1,0,4,0,2,23,42
10:30:00,10:45:00,3,227,0,13,0,18,0,1,0,37,0,1,0,33,0,1,0,3,0,0,19,49
10:45:00,11:00:00,3,320,0,6,0,36,0,1,0,38,0,1,0,11,0,3,0,5,0,1,26,19
